Date, Station, CAPE, CINS
 12Z 29 May 2015,  72293,  0.00,  0.00
 00Z 30 May 2015,  72293,  0.00,  0.00
 12Z 30 May 2015,  72293,  0.00,  0.00
 00Z 31 May 2015,  72293,  0.00,  0.00
 12Z 31 May 2015,  72293,  0.00,  0.00
 00Z 01 Jun 2015,  72293,  0.00,  0.00
 12Z 01 Jun 2015,  72293,  1.34,  0.00
 00Z 02 Jun 2015,  72293,  0.00,  0.00
 12Z 02 Jun 2015,  72293,  0.00,  0.00
 00Z 03 Jun 2015,  72293,  0.00,  0.00
 12Z 03 Jun 2015,  72293,  0.73,  0.00
 00Z 04 Jun 2015,  72293,  0.00,  0.00
 12Z 04 Jun 2015,  72293,  5.24,  0.00
 00Z 05 Jun 2015,  72293,  3.49,  0.00
 12Z 05 Jun 2015,  72293,  1.05,  -0.66
 00Z 06 Jun 2015,  72293,  0.00,  0.00
 12Z 06 Jun 2015,  72293,  3.65,  -0.18
 00Z 07 Jun 2015,  72293,  0.00,  0.00
 12Z 07 Jun 2015,  72293,  0.00,  0.00
 00Z 08 Jun 2015,  72293,  0.00,  0.00
 12Z 08 Jun 2015,  72293,  0.00,  0.00
 00Z 09 Jun 2015,  72293,  0.00,  0.00
 12Z 09 Jun 2015,  72293,  0.00,  0.00
 00Z 10 Jun 2015,  72293,  0.00,  0.00
 12Z 10 Jun 2015,  72293,  0.00,  0.00
 00Z 11 Jun 2015,  72293,  0.17,  -0.08
 12Z 11 Jun 2015,  72293,  0.18,  0.00
 00Z 12 Jun 2015,  72293,  0.00,  0.00
 12Z 12 Jun 2015,  72293,  0.52,  0.00
 00Z 13 Jun 2015,  72293,  0.00,  0.00
 12Z 13 Jun 2015,  72293,  0.00,  0.00
 00Z 14 Jun 2015,  72293,  0.00,  0.00
 12Z 14 Jun 2015,  72293,  0.20,  0.00
 00Z 15 Jun 2015,  72293,  0.00,  0.00
 12Z 15 Jun 2015,  72293,  0.00,  0.00
 00Z 16 Jun 2015,  72293,  0.00,  0.00
 12Z 16 Jun 2015,  72293,  0.00,  0.00
 00Z 17 Jun 2015,  72293,  0.00,  0.00
 12Z 17 Jun 2015,  72293,  0.00,  0.00
 00Z 18 Jun 2015,  72293,  0.00,  0.00
 12Z 18 Jun 2015,  72293,  0.00,  0.00
 00Z 19 Jun 2015,  72293,  0.00,  0.00
