Date,            Station,Showalter, Lifed, LIFT, SWEAT,    K,     TT,CAPE, CINS,Equilibrum,LFCT, CAPV,Temp K, PW 
00:00 17 Feb 2015,  72293,  9.35,  5.88,  5.68,  44.00,  -20.30,  33.00,  0.00,  0.00,  0.00,  283.84,  12.48  
12:00 17 Feb 2015,  72293,  9.26,  8.64,  8.50,  44.02,  -7.10,  34.20,  1.10,  0.00,  927.23,  954.25,  0.06,  284.06,  15.60  
00:00 18 Feb 2015,  72293,  11.12,  7.72,  7.53,  17.00,  -6.50,  29.20,  0.00,  0.00,  0.00,  283.16,  13.24  
12:00 18 Feb 2015,  72293,  11.24,  8.48,  8.31,  16.01,  -15.10,  28.60,  0.00,  0.00,  0.00,  284.89,  13.69  
00:00 20 Feb 2015,  72293,  10.65,  5.59,  5.37,  33.99,  -11.50,  30.80,  0.00,  0.00,  0.00,  282.18,  11.34  
12:00 20 Feb 2015,  72293,  10.52,  6.58,  6.46,  41.98,  -27.90,  29.60,  0.85,  0.00,  922.62,  946.85,  0.04,  284.71,  14.13  
00:00 21 Feb 2015,  72293,  11.68,  5.25,  5.19,  25.00,  -31.30,  22.80,  0.00,  0.00,  0.00,  283.09,  11.60  
12:00 21 Feb 2015,  72293,  13.74,  9.65,  9.49,  18.98,  -33.10,  19.00,  2.21,  -0.01,  879.47,  905.00,  0.13,  280.66,  11.43  
00:00 22 Feb 2015,  72293,  12.75,  7.32,  7.17,  26.01,  -20.30,  22.80,  0.00,  0.00,  0.00,  280.95,  11.53  
12:00 22 Feb 2015,  72293,  9.18,  8.44,  8.42,  90.19,  -2.50,  37.40,  10.35,  -5.40,  803.96,  886.67,  0.27,  280.36,  16.63  
00:00 23 Feb 2015,  72293,  6.66,  5.31,  5.21,  127.99,  11.40,  41.70,  56.01,  -0.65,  725.91,  911.95,  1.07,  281.97,  19.95  
12:00 23 Feb 2015,  72293,  8.77,  5.54,  5.38,  236.69,  -23.00,  39.50,  96.14,  -3.21,  728.08,  901.68,  0.85,  281.95,  13.60  
00:00 24 Feb 2015,  72293,  15.73,  11.30,  11.15,  106.99,  -18.50,  26.00,  40.52,  -5.10,  738.14,  839.47,  0.47,  276.99,  11.19  
12:00 24 Feb 2015,  72293,  11.72,  8.35,  8.22,  126.01,  -5.30,  35.00,  10.93,  -22.95,  610.98,  854.83,  0.21,  277.97,  11.41  
00:00 25 Feb 2015,  72293,  13.79,  14.64,  14.54,  68.42,  -23.10,  27.80,  0.00,  0.00,  0.00,  269.15,  8.38  
12:00 25 Feb 2015,  72293,  15.01,  13.48,  13.37,  56.99,  -11.90,  23.20,  0.00,  0.00,  0.00,  274.90,  10.12  
00:00 26 Feb 2015,  72293,  13.78,  9.92,  9.80,  40.99,  -27.50,  15.80,  0.00,  0.00,  0.00,  273.19,  8.05  
12:00 26 Feb 2015,  72293,  10.06,  13.33,  13.33,  48.00,  -3.90,  33.00,  0.00,  0.00,  0.00,  272.78,  10.67  
00:00 27 Feb 2015,  72293,  11.97,  6.01,  5.85,  73.00,  -3.10,  29.40,  0.00,  0.00,  0.00,  282.28,  14.41  
12:00 27 Feb 2015,  72293,  8.16,  7.76,  7.70,  86.79,  8.10,  38.40,  2.31,  -0.91,  886.97,  918.67,  0.02,  282.79,  16.58  
00:00 28 Feb 2015,  72293,  5.37,  4.80,  4.71,  166.19,  16.70,  42.20,  20.57,  0.00,  800.54,  934.62,  0.21,  284.17,  23.31  
12:00 28 Feb 2015,  72293,  10.15,  9.28,  9.27,  147.79,  15.60,  35.30,  27.42,  -3.75,  789.63,  899.62,  0.34,  281.36,  19.43
  
00:00 01 Mar 2015,  72293,  11.08,  6.77,  6.82,  86.01,  -20.70,  35.20,  38.09,  -0.78,  747.52,  867.97,  0.73,  278.92,  13.78  
12:00 01 Mar 2015,  72293,  7.66,  4.51,  4.57,  102.02,  19.80,  41.70,  111.66,  -3.74,  616.14,  887.93,  0.94,  282.04,  21.66  
00:00 02 Mar 2015,  72293,  7.61,  7.23,  7.21,  99.01,  21.90,  41.80,  0.00,  0.00,  0.00,  277.27,  20.02  
12:00 02 Mar 2015,  72293,  3.46,  3.40,  3.28,  155.01,  20.30,  50.40,  23.70,  -8.01,  629.68,  846.31,  0.22,  280.03,  16.45  
00:00 03 Mar 2015,  72293,  8.41,  6.33,  6.21,  172.69,  15.10,  41.60,  21.85,  -9.22,  656.26,  875.33,  0.58,  278.88,  14.68  
12:00 03 Mar 2015,  72293,  2.08,  1.87,  1.85,  125.78,  21.10,  53.80,  0.00,  0.00,  0.00,  276.83,  15.30  
00:00 04 Mar 2015,  72293,  2.75,  1.08,  0.96,  63.00,  18.50,  51.40,  0.64,  -58.87,  605.94,  697.07,  0.06,  277.45,  14.20  
